"SKU";"Item name";"Attribute name";"Attribute value";"GTIN";
"MC005beige_2pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 2er Set";"PACKED WEIGHT";"1000g";"8720618522696";
"MC005beige_2pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 2er Set";"PE BAG SIZE";"40*27*13 cm";"8720618522696";
"MC005beige_2pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 2er Set";"COLOR TOP";"Beige";"8720618522696";
"MC005beige_2pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 2er Set";"MATERIAL TOP";"60% polyester 34% cotton 6% spandex";"8720618522696";
"MC005beige_2pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 2er Set";"QUALITY TOP";"180gsm";"8720618522696";
"MC005beige_2pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 2er Set";"ZIPPER STYLE";"Invisible Style";"8720618522696";
"MC005beige_2pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 2er Set";"ZIPPER COLOR";"Beige";"8720618522696";
"MC005beige_2pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 2er Set";"FILLING";"50D memory foam Inner cover: 90g 100% polyester, white";"8720618522696";
"MC005beige_2pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 2er Set";"FILLING COLOR";"White";"8720618522696";
"MC005beige_2pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 2er Set";"BRAND LABEL DETAIL";"woven front + back printed";"8720618522696";
"MC005beige_2pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 2er Set";"BRAND LABEL COLOR";"Orange + green font";"8720618522696";
"MC005beige_2pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 2er Set";"BRAND LABEL SIZE";"23.2 x 20 mm";"8720618522696";
"MC005beige_2pack";"Stuhlkissen rund 40cm - 2er / 4er Set Weiß / 2er Set";"WASHING LABEL SIZE";"7x3.5cm ";"8720618522696";
